Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C115",0402,3,33p,C1562
"C103, C110, C116, C121, C124",0805,5,10u,C440198
"C104, C105, C106, C107, C108, C109, C111, C113, C114, C117, C118, C120, C122, C123",0402,14,100n,C307331
C112,0805,1,22u,C45783
C119,0402,1,4n7,C1538
D101,D_SOD-123F,1,SMF24A,C19077514
D102,D_SOD-323,1,1N5819WS,C191023
D103,SOT-23,1,PESD1CAN,C343993
"D104, D105, D106, D107",0805,4,green,C2297
D108,0805,1,yellow,C2296
"D109, D110",0603,2,red,C2286
F101,0805,1,250mA,C20608679
J101,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,1,In,C492540
J102,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Laser,C705183
L101,1008,1,L,C5832376
Q102,SOT-23,1,2N7002,C8545
Q103,AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm,1,CJAC70P06,C2898279
"R101, R103, R107, R108, R112, R113",0402,6,10k,C25744
R102,0402,1,51k,C25794
"R104, R105, R106",0402,3,100k,C25741
"R109, R118",0402,2,1k,C11702
"R110, R111",0402,2,60R4,C60310
"R114, R115",0402,2,33k,C25779
R116,0402,1,3.3k,C25890
R117,0402,1,220R,C25091
"R119, R120",0402,2,470R,C25117
U101,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F072CBUx,C92504
U102,SOT-23-6,1,MP2459,C39578
U103,SOT-23-3,1,XC6206P332MR-G,C5446
U104,SOT-353_SC-70-5,1,74AHCT1G125,C7484
U105,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U107,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,ICM-20602,
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,C9002
